date,maximum_temp,minimum_temp
1,5.6,4.4
2,7.2,4.8
3,10.8,9.3
4,10.0,9.2
5,9.7,9.1
6,9.9,4.1
7,9.5,8.9
8,10.4,9.5
9,4.1,-1.0
10,2.5,0.1
11,1.9,0.4
12,3.7,1.8
13,0.6,-2.7
14,3.9,1.3
15,1.9,-2.8
16,-2.3,-4.8
17,-0.4,-2.1
18,2.3,1.5
19,1.5,-0.4
20,1.4,-0.7
21,1.3,0.1
22,0.7,-3.8
23,-0.8,-4.3
24,0.5,-2.2
25,3.1,0.7
26,4.6,1.8
27,9.4,5.3
28,5.5,4.3
29,8.7,7.2
30,8.2,6.0
31,7.6,5.4
32,6.4,4.9
33,4.0,-2.5
34,7.1,-1.9
35,8.8,4.8
36,3.4,1.0
37,5.6,2.5
38,2.9,-2.5
39,1.8,-0.2
40,3.7,2.5
41,3.9,2.9
42,3.1,1.9
43,2.1,-2.9
44,1.9,-1.9
45,7.7,5.0
46,6.4,3.7
47,6.5,0.2
48,7.5,3.2
49,-0.3,-3.5
50,-1.0,-4.6
51,-0.3,-4.1
52,-0.7,-5.8
53,-0.3,-5.4
54,0.8,-0.7
55,0.2,-3.7
56,2.1,-1.6
57,3.3,-0.4
58,0.7,-2.6
59,-2.1,-5.9
60,7.5,2.8
61,0.3,-4.7
62,1.1,-3.2
63,3.0,-3.9
64,-0.5,-4.8
65,4.2,-1.6
66,6.3,4.7
67,7.2,5.3
68,5.7,2.5
69,2.6,1.5
70,-1.8,-5.2
71,-1.1,-6.1
72,2.7,-2.2
73,2.0,-6.3
74,5.3,4.0
75,3.5,0.6
76,2.4,0.2
77,3.0,-1.1
78,1.9,0.3
79,4.5,1.1
80,2.6,-4.0
81,3.0,1.1
82,1.7,0.7
83,1.5,0.0
84,1.7,0.7
85,0.9,-0.9
86,0.8,-1.9
87,0.9,-2.1
88,3.1,-5.2
89,2.5,-6.2
90,3.6,-5.1
91,3.7,-3.7
92,4.9,-3.3
93,4.3,-2.7
94,3.9,-4.6
95,3.9,0.8
96,5.7,-6.3
97,5.4,-2.3
98,5.6,3.0
99,5.5,0.9
100,6.8,-3.8
101,7.0,3.7
102,8.8,2.7
103,8.8,1.9
104,12.5,11.5
105,10.7,8.4
106,10.3,8.5
107,10.9,6.1
108,9.1,6.9
109,7.6,5.0
110,9.6,2.6
111,7.6,6.6
112,8.2,5.6
113,9.9,7.3
114,10.9,8.6
115,8.1,5.4
116,7.6,4.1
117,6.4,0.7
118,7.3,4.9
119,7.5,5.4
120,9.1,1.4
121,9.8,1.3
122,9.6,-2.0
123,10.2,8.7
124,9.3,5.8
125,11.3,8.7
126,10.0,8.9
127,16.3,1.4
128,16.4,13.5
129,10.0,7.5
130,10.4,7.7
131,8.3,6.7
132,9.2,6.9
133,8.7,6.0
134,8.6,5.6
