date,rainfall_mm
2013-01-01,2.100
2013-01-02,5.700
2013-01-03,1.400
2013-01-04,0.300
2013-01-05,3.600
2013-01-06,0.900
2013-01-07,29.800
2013-01-08,5.200
2013-01-09,0.200
2013-01-10,0.500
2013-01-11,0.500
2013-01-12,0.000
2013-01-13,2.700
2013-01-14,6.400
2013-01-15,1.300
2013-01-16,0.000
2013-01-17,0.100
2013-01-18,0.000
2013-01-19,0.100
2013-01-20,10.100
2013-01-21,7.200
2013-01-22,1.200
2013-01-23,0.300
2013-01-24,0.500
2013-01-25,49.900
2013-01-26,53.200
2013-01-27,5.600
2013-01-28,32.000
2013-01-29,30.800
2013-01-30,16.300
2013-01-31,1.000
2013-02-01,0.500
2013-02-02,4.100
2013-02-03,12.100
2013-02-04,5.600
2013-02-05,13.400
2013-02-06,0.000
2013-02-07,0.000
2013-02-08,3.400
2013-02-09,4.300
2013-02-10,12.300
2013-02-11,0.400
2013-02-12,0.100
2013-02-13,43.100
2013-02-14,1.100
2013-02-15,0.000
2013-02-16,0.300
2013-02-17,0.000
2013-02-18,0.000
2013-02-19,0.000
2013-02-20,0.000
2013-02-21,0.000
2013-02-22,0.100
2013-02-23,0.100
2013-02-24,0.300
2013-02-25,0.000
2013-02-26,0.000
2013-02-27,0.000
2013-02-28,0.000
2013-03-01,0.000
2013-03-02,0.100
2013-03-03,0.000
2013-03-04,0.000
2013-03-05,0.000
2013-03-06,1.300
2013-03-07,5.500
2013-03-08,1.800
2013-03-09,8.100
2013-03-10,0.200
2013-03-11,0.100
2013-03-12,0.100
2013-03-13,0.000
2013-03-14,32.200
2013-03-15,10.600
2013-03-16,2.000
2013-03-17,9.100
2013-03-18,5.900
2013-03-19,2.600
2013-03-20,0.100
2013-03-21,2.900
2013-03-22,13.600
2013-03-23,3.400
2013-03-24,0.400
2013-03-25,0.000
2013-03-26,0.100
2013-03-27,0.400
2013-03-28,0.000
2013-03-29,0.000
2013-03-30,0.000
2013-03-31,0.000
2013-04-01,0.000
2013-04-02,0.000
2013-04-03,0.000
2013-04-04,0.000
2013-04-05,0.000
2013-04-06,0.000
2013-04-07,0.000
2013-04-08,0.000
2013-04-09,0.000
2013-04-10,0.000
2013-04-11,2.200
2013-04-12,2.500
2013-04-13,46.300
2013-04-14,21.400
2013-04-15,14.600
2013-04-16,6.200
2013-04-17,61.000
2013-04-18,11.200
2013-04-19,0.000
2013-04-20,5.500
2013-04-21,15.300
2013-04-22,4.200
2013-04-23,10.300
2013-04-24,10.200
2013-04-25,4.600
2013-04-26,5.400
2013-04-27,2.100
2013-04-28,6.600
2013-04-29,0.900
2013-04-30,0.000
2013-05-01,0.600
2013-05-02,0.700
2013-05-03,18.000
2013-05-04,0.200
2013-05-05,1.900
2013-05-06,0.000
2013-05-07,3.000
2013-05-08,8.000
2013-05-09,26.800
2013-05-10,8.900
2013-05-11,9.600
2013-05-12,11.600
2013-05-13,7.800
2013-05-14,0.100
2013-05-15,3.500
2013-05-16,0.800
2013-05-17,15.200
2013-05-18,14.500
2013-05-19,5.700
2013-05-20,0.000
2013-05-21,0.000
2013-05-22,1.500
2013-05-23,2.900
2013-05-24,2.000
2013-05-25,0.000
2013-05-26,3.600
2013-05-27,37.300
2013-05-28,6.200
2013-05-29,1.100
2013-05-30,0.000
2013-05-31,0.000
2013-06-01,0.000
2013-06-02,0.000
2013-06-03,0.000
2013-06-04,0.000
2013-06-05,0.200
2013-06-06,0.000
