date,daily_flow_cumecs
1969-01-01,0.623
1969-01-02,0.560
1969-01-03,0.516
1969-01-04,0.678
1969-01-05,0.595
1969-01-06,0.533
1969-01-07,0.771
1969-01-08,0.969
1969-01-09,0.803
1969-01-10,0.752
1969-01-11,0.768
1969-01-12,0.955
1969-01-13,0.822
1969-01-14,1.038
1969-01-15,0.886
1969-01-16,0.997
1969-01-17,1.198
1969-01-18,1.972
1969-01-19,2.011
1969-01-20,4.410
1969-01-21,5.060
1969-01-22,3.380
1969-01-23,2.830
1969-01-24,2.340
1969-01-25,1.950
1969-01-26,1.610
1969-01-27,1.940
1969-01-28,3.627
1969-01-29,2.882
1969-01-30,2.377
1969-01-31,2.063
1969-02-01,2.773
1969-02-02,2.236
1969-02-03,1.529
1969-02-04,1.312
1969-02-05,1.533
1969-02-06,2.862
1969-02-07,1.995
1969-02-08,1.446
1969-02-09,1.094
1969-02-10,1.111
1969-02-11,2.438
1969-02-12,1.829
1969-02-13,1.378
1969-02-14,1.090
1969-02-15,0.967
1969-02-16,1.245
1969-02-17,1.297
1969-02-18,0.986
1969-02-19,0.456
1969-02-20,0.412
1969-02-21,0.380
1969-02-22,0.465
1969-02-23,0.583
1969-02-24,0.465
1969-02-25,0.393
1969-02-26,0.356
1969-02-27,0.312
1969-02-28,0.304
1969-03-01,0.287
1969-03-02,0.259
1969-03-03,0.242
1969-03-04,0.297
1969-03-05,0.342
1969-03-06,0.336
1969-03-07,0.241
1969-03-08,0.195
1969-03-09,0.190
1969-03-10,0.180
1969-03-11,0.182
1969-03-12,0.189
1969-03-13,0.231
1969-03-14,0.266
1969-03-15,0.345
1969-03-16,0.303
1969-03-17,0.252
1969-03-18,0.228
1969-03-19,0.231
1969-03-20,0.259
1969-03-21,0.267
1969-03-22,0.247
1969-03-23,0.233
1969-03-24,0.228
1969-03-25,0.221
1969-03-26,0.226
1969-03-27,0.211
1969-03-28,0.202
1969-03-29,0.611
1969-03-30,1.398
1969-03-31,4.397
1969-04-01,2.092
1969-04-02,1.445
1969-04-03,1.094
1969-04-04,0.907
1969-04-05,0.760
1969-04-06,0.645
1969-04-07,0.572
1969-04-08,0.501
1969-04-09,3.101
1969-04-10,2.184
1969-04-11,2.315
1969-04-12,2.750
1969-04-13,1.931
1969-04-14,3.325
1969-04-15,3.795
1969-04-16,2.540
1969-04-17,1.728
1969-04-18,1.277
1969-04-19,0.990
1969-04-20,0.803
1969-04-21,0.816
1969-04-22,0.769
1969-04-23,0.602
1969-04-24,1.075
1969-04-25,2.378
1969-04-26,1.573
1969-04-27,1.343
1969-04-28,1.186
1969-04-29,0.991
1969-04-30,0.818
1969-05-01,0.698
1969-05-02,0.636
1969-05-03,0.576
1969-05-04,0.538
1969-05-05,0.477
1969-05-06,0.646
1969-05-07,0.711
1969-05-08,1.133
1969-05-09,0.850
1969-05-10,0.821
1969-05-11,1.248
1969-05-12,0.999
1969-05-13,0.952
1969-05-14,1.224
1969-05-15,0.950
1969-05-16,0.836
1969-05-17,0.763
1969-05-18,0.731
1969-05-19,0.597
1969-05-20,0.518
1969-05-21,0.460
1969-05-22,0.413
1969-05-23,0.370
1969-05-24,0.628
1969-05-25,0.729
1969-05-26,0.639
1969-05-27,0.607
1969-05-28,0.557
1969-05-29,0.845
1969-05-30,0.683
1969-05-31,0.835
1969-06-01,0.643
1969-06-02,2.954
1969-06-03,2.782
1969-06-04,1.846
1969-06-05,1.348
1969-06-06,1.004
1969-06-07,0.812
1969-06-08,0.656
1969-06-09,0.542
1969-06-10,0.446
1969-06-11,0.379
1969-06-12,0.321
1969-06-13,0.286
1969-06-14,0.251
1969-06-15,0.229
1969-06-16,0.227
1969-06-17,0.703
1969-06-18,1.398
1969-06-19,1.784
1969-06-20,1.143
1969-06-21,1.021
1969-06-22,1.306
1969-06-23,0.909
1969-06-24,0.755
1969-06-25,0.612
1969-06-26,1.419
1969-06-27,0.956
1969-06-28,0.744
1969-06-29,0.632
1969-06-30,0.604
1969-07-01,0.823
1969-07-02,0.612
1969-07-03,0.494
1969-07-04,0.459
1969-07-05,0.394
1969-07-06,0.348
1969-07-07,0.390
1969-07-08,0.504
1969-07-09,0.342
1969-07-10,0.317
1969-07-11,0.313
1969-07-12,0.321
1969-07-13,0.265
1969-07-14,0.226
1969-07-15,0.193
1969-07-16,0.174
1969-07-17,0.155
1969-07-18,0.725
1969-07-19,0.750
1969-07-20,0.422
1969-07-21,0.339
1969-07-22,0.429
1969-07-23,0.680
1969-07-24,0.464
1969-07-25,0.359
1969-07-26,0.337
1969-07-27,0.299
1969-07-28,0.443
1969-07-29,0.340
1969-07-30,0.254
1969-07-31,0.207
1969-08-01,0.176
1969-08-02,0.169
1969-08-03,0.370
1969-08-04,0.513
