date,rainfall_mm
2013-01-01,2.600
2013-01-02,6.900
2013-01-03,2.300
2013-01-04,0.700
2013-01-05,3.500
2013-01-06,0.800
2013-01-07,31.500
2013-01-08,6.500
2013-01-09,0.100
2013-01-10,0.400
2013-01-11,0.400
2013-01-12,0.000
2013-01-13,3.700
2013-01-14,3.100
2013-01-15,0.200
2013-01-16,0.000
2013-01-17,0.000
2013-01-18,0.000
2013-01-19,0.000
2013-01-20,4.200
2013-01-21,2.800
2013-01-22,1.700
2013-01-23,0.300
2013-01-24,0.100
2013-01-25,38.500
2013-01-26,44.100
2013-01-27,1.200
2013-01-28,35.400
2013-01-29,22.500
2013-01-30,13.900
2013-01-31,0.200
2013-02-01,0.300
2013-02-02,3.400
2013-02-03,9.200
2013-02-04,3.200
2013-02-05,10.000
2013-02-06,0.100
2013-02-07,0.200
2013-02-08,3.700
2013-02-09,2.700
2013-02-10,7.000
2013-02-11,0.900
2013-02-12,0.100
2013-02-13,31.500
2013-02-14,0.300
2013-02-15,0.000
2013-02-16,0.100
2013-02-17,0.000
2013-02-18,0.000
2013-02-19,0.000
2013-02-20,0.000
2013-02-21,0.000
2013-02-22,0.000
2013-02-23,0.000
2013-02-24,0.000
2013-02-25,0.000
2013-02-26,0.000
2013-02-27,0.000
2013-02-28,0.000
2013-03-01,0.000
2013-03-02,0.000
2013-03-03,0.000
2013-03-04,0.000
2013-03-05,0.000
2013-03-06,1.100
2013-03-07,1.100
2013-03-08,2.200
2013-03-09,6.900
2013-03-10,0.400
2013-03-11,0.100
2013-03-12,0.100
2013-03-13,0.000
2013-03-14,25.800
2013-03-15,9.900
2013-03-16,1.300
2013-03-17,8.300
2013-03-18,3.900
2013-03-19,2.500
2013-03-20,0.000
2013-03-21,1.800
2013-03-22,9.100
2013-03-23,3.200
2013-03-24,0.000
2013-03-25,0.000
2013-03-26,0.000
2013-03-27,0.000
2013-03-28,0.000
2013-03-29,0.000
2013-03-30,0.000
2013-03-31,0.000
2013-04-01,0.000
2013-04-02,0.000
2013-04-03,0.000
2013-04-04,0.000
2013-04-05,0.000
2013-04-06,0.000
2013-04-07,0.000
2013-04-08,0.000
2013-04-09,0.000
2013-04-10,0.000
2013-04-11,0.300
2013-04-12,4.300
2013-04-13,52.700
2013-04-14,17.900
2013-04-15,13.200
2013-04-16,4.900
2013-04-17,76.200
2013-04-18,9.000
2013-04-19,0.000
2013-04-20,3.700
2013-04-21,11.300
