date,daily_flow_cumecs
2013-01-01,4.800
2013-01-02,4.460
2013-01-03,3.270
2013-01-04,2.390
2013-01-05,1.960
2013-01-06,1.660
2013-01-07,1.970
2013-01-08,3.380
2013-01-09,1.970
2013-01-10,1.570
2013-01-11,1.390
2013-01-12,1.210
2013-01-13,1.090
2013-01-14,1.210
2013-01-15,0.960
2013-01-16,0.838
2013-01-17,0.769
2013-01-18,0.679
2013-01-19,0.648
2013-01-20,0.611
2013-01-21,0.597
2013-01-22,0.562
2013-01-23,0.537
2013-01-24,0.520
2013-01-25,1.090
2013-01-26,14.400
2013-01-27,7.930
2013-01-28,10.200
2013-01-29,12.000
2013-01-30,6.730
2013-01-31,4.460
2013-02-01,2.340
2013-02-02,1.670
2013-02-03,3.220
2013-02-04,2.870
2013-02-05,4.810
2013-02-06,2.440
2013-02-07,1.630
2013-02-08,1.430
2013-02-09,1.760
2013-02-10,2.330
2013-02-11,1.560
2013-02-12,1.170
2013-02-13,8.420
2013-02-14,5.150
2013-02-15,2.640
2013-02-16,1.860
2013-02-17,1.460
2013-02-18,1.200
2013-02-19,1.030
2013-02-20,0.920
2013-02-21,0.800
2013-02-22,0.723
2013-02-23,0.675
2013-02-24,0.635
2013-02-25,0.604
2013-02-26,0.558
2013-02-27,0.508
2013-02-28,0.494
2013-03-01,0.474
2013-03-02,0.451
2013-03-03,0.436
2013-03-04,0.415
2013-03-05,0.391
2013-03-06,0.380
2013-03-07,0.405
2013-03-08,0.416
2013-03-09,0.724
2013-03-10,0.504
2013-03-11,0.358
2013-03-12,0.445
2013-03-13,0.350
2013-03-14,0.560
2013-03-15,3.680
2013-03-16,1.350
2013-03-17,1.330
2013-03-18,1.630
2013-03-19,1.630
2013-03-20,1.150
2013-03-21,0.815
2013-03-22,0.644
2013-03-23,0.684
2013-03-24,0.658
2013-03-25,0.628
2013-03-26,0.612
2013-03-27,0.614
2013-03-28,0.597
2013-03-29,0.614
2013-03-30,0.541
2013-03-31,0.525
2013-04-01,0.505
2013-04-02,0.476
2013-04-03,0.531
2013-04-04,0.518
2013-04-05,0.529
2013-04-06,0.595
2013-04-07,0.585
2013-04-08,0.522
2013-04-09,0.460
2013-04-10,0.462
2013-04-11,0.488
2013-04-12,1.030
2013-04-13,2.060
2013-04-14,8.920
2013-04-15,6.050
2013-04-16,2.440
2013-04-17,15.300
2013-04-18,8.340
2013-04-19,3.170
2013-04-20,1.830
2013-04-21,2.230
2013-04-22,1.480
2013-04-23,1.140
2013-04-24,1.780
2013-04-25,3.110
2013-04-26,2.140
2013-04-27,1.690
2013-04-28,2.110
2013-04-29,1.460
2013-04-30,1.110
2013-05-01,0.947
2013-05-02,0.803
2013-05-03,1.270
2013-05-04,1.480
2013-05-05,0.983
2013-05-06,0.809
2013-05-07,0.688
2013-05-08,0.951
2013-05-09,4.140
2013-05-10,2.250
2013-05-11,6.380
2013-05-12,2.930
2013-05-13,2.360
2013-05-14,1.540
2013-05-15,3.730
2013-05-16,1.590
2013-05-17,1.700
2013-05-18,14.500
2013-05-19,2.820
2013-05-20,2.150
2013-05-21,1.490
2013-05-22,1.140
2013-05-23,0.972
2013-05-24,0.881
2013-05-25,0.736
2013-05-26,0.639
2013-05-27,2.090
2013-05-28,1.930
2013-05-29,1.140
2013-05-30,0.844
2013-05-31,0.653
2013-06-01,0.547
2013-06-02,0.481
2013-06-03,0.455
2013-06-04,0.408
2013-06-05,0.380
2013-06-06,0.360
2013-06-07,0.334
2013-06-08,0.315
2013-06-09,0.306
2013-06-10,0.299
2013-06-11,0.277
2013-06-12,0.288
2013-06-13,0.290
2013-06-14,0.332
2013-06-15,0.491
2013-06-16,0.420
2013-06-17,0.325
2013-06-18,0.271
2013-06-19,0.238
2013-06-20,0.231
2013-06-21,0.239
2013-06-22,0.635
2013-06-23,1.680
2013-06-24,0.622
2013-06-25,0.413
2013-06-26,0.326
2013-06-27,0.335
2013-06-28,1.930
2013-06-29,0.787
2013-06-30,0.561
2013-07-01,0.476
2013-07-02,0.414
2013-07-03,0.384
2013-07-04,0.389
2013-07-05,0.332
2013-07-06,0.285
2013-07-07,0.262
2013-07-08,0.241
2013-07-09,0.222
2013-07-10,0.214
2013-07-11,0.202
2013-07-12,0.192
2013-07-13,0.181
2013-07-14,0.171
2013-07-15,0.165
2013-07-16,0.162
2013-07-17,0.156
2013-07-18,0.149
2013-07-19,0.143
2013-07-20,0.142
2013-07-21,0.139
2013-07-22,0.134
2013-07-23,0.156
2013-07-24,0.162
2013-07-25,0.212
2013-07-26,0.152
2013-07-27,1.020
2013-07-28,5.520
2013-07-29,5.890
2013-07-30,1.980
2013-07-31,6.520
2013-08-01,4.560
2013-08-02,1.910
2013-08-03,3.030
2013-08-04,3.570
2013-08-05,8.160
2013-08-06,2.810
2013-08-07,1.700
2013-08-08,1.380
2013-08-09,1.410
2013-08-10,1.050
2013-08-11,1.190
2013-08-12,3.010
2013-08-13,1.540
2013-08-14,1.230
2013-08-15,5.730
2013-08-16,4.310
2013-08-17,5.460
2013-08-18,3.230
2013-08-19,1.960
2013-08-20,1.450
2013-08-21,1.270
2013-08-22,1.050
2013-08-23,0.904
2013-08-24,0.808
2013-08-25,0.689
2013-08-26,0.588
2013-08-27,0.525
2013-08-28,0.472
2013-08-29,0.442
2013-08-30,0.422
2013-08-31,0.397
2013-09-01,0.365
2013-09-02,0.371
2013-09-03,0.336
2013-09-04,0.308
2013-09-05,0.291
2013-09-06,1.290
2013-09-07,1.680
2013-09-08,1.240
2013-09-09,1.850
2013-09-10,1.230
2013-09-11,1.290
2013-09-12,1.260
2013-09-13,1.110
2013-09-14,0.850
2013-09-15,9.600
2013-09-16,9.350
2013-09-17,8.840
2013-09-18,3.530
2013-09-19,3.150
2013-09-20,2.320
2013-09-21,1.670
2013-09-22,1.310
2013-09-23,1.110
2013-09-24,0.981
2013-09-25,0.883
2013-09-26,0.779
2013-09-27,0.689
2013-09-28,0.601
2013-09-29,0.539
2013-09-30,0.494
2013-10-01,0.458
2013-10-02,0.540
2013-10-03,1.660
2013-10-04,2.940
2013-10-05,1.260
2013-10-06,0.887
2013-10-07,1.190
2013-10-08,1.390
2013-10-09,1.050
2013-10-10,0.806
2013-10-11,0.690
2013-10-12,0.621
2013-10-13,0.570
2013-10-14,0.585
2013-10-15,0.640
2013-10-16,3.020
2013-10-17,1.500
2013-10-18,1.220
2013-10-19,3.450
2013-10-20,5.630
2013-10-21,12.600
2013-10-22,13.200
2013-10-23,13.100
2013-10-24,4.600
2013-10-25,8.530
2013-10-26,9.260
2013-10-27,16.300
2013-10-28,7.710
2013-10-29,4.920
2013-10-30,5.100
2013-10-31,3.310
2013-11-01,2.330
2013-11-02,13.400
2013-11-03,6.870
2013-11-04,3.300
2013-11-05,3.500
2013-11-06,3.120
2013-11-07,3.220
2013-11-08,3.280
2013-11-09,5.830
2013-11-10,2.780
2013-11-11,3.240
2013-11-12,2.210
2013-11-13,3.420
2013-11-14,2.650
2013-11-15,1.770
2013-11-16,1.520
2013-11-17,2.360
2013-11-18,3.620
2013-11-19,4.960
2013-11-20,6.130
2013-11-21,2.650
2013-11-22,1.920
2013-11-23,1.570
2013-11-24,1.330
2013-11-25,1.150
2013-11-26,1.040
2013-11-27,0.951
2013-11-28,0.893
2013-11-29,1.060
2013-11-30,0.841
2013-12-01,0.780
2013-12-02,0.710
2013-12-03,0.721
2013-12-04,0.778
2013-12-05,3.390
2013-12-06,1.740
2013-12-07,3.020
2013-12-08,9.700
2013-12-09,3.260
2013-12-10,1.970
