date,maximum_temp,minimum_temp
1,4.4,2.9
2,5.7,4.7
3,10.6,9.6
4,9.4,8.1
5,9.0,8.2
6,9.6,4.7
7,8.5,7.1
8,9.6,8.9
9,5.4,2.2
10,3.8,-1.4
11,2.4,-2.6
12,2.6,0.2
13,0.9,-2.0
14,1.7,-0.4
15,0.7,-1.1
16,-0.9,-3.2
17,-0.3,-1.3
18,1.7,-1.0
19,-0.6,-1.7
20,-0.2,-1.4
21,0.8,-0.6
22,-0.4,-2.0
23,1.1,-1.7
24,0.5,-1.1
25,-0.1,-2.0
26,3.9,-0.2
27,8.0,3.1
28,4.6,2.3
29,8.1,6.3
30,7.7,4.5
31,6.7,3.2
32,5.5,3.9
33,2.3,-1.3
34,6.7,-0.3
35,8.2,3.1
36,2.1,-1.0
37,3.9,0.3
38,1.2,-1.3
39,2.1,0.2
40,2.9,0.9
41,2.4,0.9
42,0.9,-0.1
43,0.6,-0.2
44,0.3,-1.9
45,5.3,1.7
46,5.3,4.1
47,4.1,2.7
48,5.3,3.0
49,4.2,-0.4
50,4.9,-1.0
51,4.0,0.3
52,-0.3,-2.2
53,-0.4,-1.3
54,0.6,-1.0
55,0.2,-2.3
56,2.5,-1.0
57,3.8,-0.1
58,2.5,-2.9
59,3.6,0.8
60,6.0,3.8
61,2.5,-0.1
62,4.7,1.1
63,5.2,0.1
64,4.8,-0.2
65,6.7,0.7
66,6.5,5.0
67,4.2,3.4
68,3.9,1.2
69,1.4,0.2
70,-2.5,-4.5
71,0.0,-3.4
72,1.9,-0.8
73,1.1,-2.5
74,3.9,2.1
75,3.0,1.2
76,1.7,-0.7
77,2.2,0.0
78,1.7,-0.6
79,1.7,0.5
80,0.3,-2.8
81,0.2,-1.6
82,-0.9,-1.6
83,-0.7,-1.6
84,0.1,-1.4
85,-0.7,-2.2
86,-0.2,-1.8
87,1.0,-1.8
88,0.5,-3.7
89,-0.2,-3.4
90,1.3,-3.2
91,1.3,-0.9
92,1.9,-1.7
93,3.0,-3.0
94,3.2,-2.2
95,2.8,1.3
96,2.9,-3.1
97,3.1,-0.7
98,2.9,1.5
99,3.6,-0.3
100,4.6,-0.3
101,4.7,1.7
102,4.6,2.3
103,5.2,2.9
104,11.6,8.5
105,9.6,7.4
106,9.4,7.7
107,8.2,4.8
108,8.1,5.3
109,6.2,3.0
110,7.8,3.4
111,6.4,5.6
112,6.7,4.7
113,9.1,6.5
114,10.7,8.1
115,6.9,4.9
116,5.8,3.5
117,4.8,1.8
118,5.6,3.2
119,5.6,3.9
120,7.2,2.8
121,9.0,3.7
122,8.3,0.8
123,9.1,8.0
124,9.3,4.7
125,10.7,7.9
126,9.4,7.9
127,16.0,7.2
128,15.8,11.0
129,8.0,5.9
130,8.3,6.4
131,6.9,5.7
132,8.0,5.6
133,8.0,3.4
134,7.0,3.7
135,6.7,4.6
136,6.2,3.3
137,8.9,3.7
138,10.5,6.5
139,10.1,8.3
140,11.7,10.3
141,13.6,10.2
142,10.0,7.0
143,6.7,2.5
144,7.6,3.5
145,10.7,2.0
146,13.7,5.7
