date,maximum_temp,minimum_temp
1,5.8,3.4
2,10.2,5.7
3,10.2,9.0
4,8.5,7.6
5,9.7,8.1
6,8.5,6.9
7,9.2,7.4
8,9.3,4.6
9,6.1,2.0
10,3.0,-1.5
11,3.9,0.3
12,2.9,-0.4
13,0.9,-0.5
14,3.4,-0.1
15,1.7,-2.1
16,-0.6,-1.8
17,1.4,-0.4
18,0.0,-2.2
19,0.3,-1.0
20,0.2,-0.4
21,0.3,-1.9
22,1.0,-2.7
23,0.6,-0.6
24,3.4,-0.2
25,0.3,-2.0
26,5.0,2.6
27,4.6,3.1
28,8.1,2.3
29,10.2,6.2
30,6.3,4.2
31,6.4,5.2
32,6.4,2.3
33,3.9,-1.3
34,7.7,6.7
35,4.5,2.0
36,4.2,-0.1
37,4.3,0.2
38,2.8,-0.2
39,5.9,1.9
40,2.6,1.0
41,2.0,0.8
42,1.5,-0.1
43,1.9,-0.2
44,1.9,-1.9
45,5.8,4.7
46,7.2,3.1
47,5.5,3.5
48,7.3,3.5
49,7.3,1.3
50,9.7,2.8
51,4.6,-1.2
52,2.7,-1.4
53,0.8,-0.5
54,3.4,-1.0
55,3.6,-0.9
56,6.7,0.8
57,6.8,1.1
58,9.9,1.5
59,11.0,2.8
60,7.3,2.1
61,7.1,2.3
62,9.8,3.9
63,6.2,1.4
64,10.8,1.6
65,6.4,2.4
66,9.6,4.1
67,4.5,3.5
68,2.2,1.0
69,2.4,-2.7
70,0.2,-3.5
71,3.9,-1.2
72,5.0,0.0
73,3.5,0.8
74,6.3,2.2
75,5.6,1.1
76,4.7,0.5
77,4.7,-0.1
78,3.3,0.7
79,2.2,0.1
80,3.9,-0.6
81,-0.5,-1.6
82,-0.9,-2.0
83,1.7,-0.9
84,1.9,-1.5
85,2.3,-1.3
86,3.2,-1.1
87,3.6,-1.5
88,3.9,-1.5
89,3.7,-0.6
90,3.3,-0.2
91,4.4,-0.6
92,5.9,-1.1
93,7.5,0.4
94,6.4,2.2
95,6.4,1.9
96,9.1,2.2
97,9.6,2.6
98,4.3,0.5
99,7.4,1.9
100,10.2,4.2
101,6.8,3.7
102,10.1,4.5
103,12.8,5.0
104,11.5,8.3
105,11.1,7.6
106,10.8,7.8
107,10.8,7.2
108,8.6,5.4
109,10.9,5.0
110,11.6,6.2
111,8.1,5.3
112,10.3,6.4
113,11.1,8.7
114,10.4,6.6
115,8.5,4.5
116,7.5,1.7
117,9.9,3.8
118,8.3,4.3
119,9.8,5.2
120,11.5,5.1
121,11.5,4.7
122,13.2,8.1
123,10.7,7.9
124,10.6,6.0
125,11.8,9.3
126,14.6,8.6
127,21.3,13.1
128,12.5,7.9
129,8.1,6.3
130,9.9,6.2
131,8.7,4.8
132,10.1,6.9
133,8.1,3.4
134,9.9,5.7
135,10.3,5.2
136,12.6,6.0
137,14.0,8.7
138,10.6,7.3
139,13.4,9.9
140,15.4,11.3
141,14.7,9.9
142,12.4,6.6
143,9.3,4.8
144,10.4,5.1
145,14.1,8.4
146,15.9,8.1
147,8.6,6.4
148,11.5,8.9
149,13.0,10.3
150,16.2,11.6
151,17.5,10.1
152,13.6,9.1
153,13.6,9.1
154,16.6,12.0
155,19.2,14.1
