date,maximum_temp,minimum_temp
1,5.9,3.1
2,7.2,6.0
3,11.5,9.5
4,10.4,8.9
5,9.5,8.2
6,10.1,7.1
7,7.3,6.7
8,9.5,8.6
9,3.7,-1.3
10,2.0,1.0
11,1.2,-1.0
12,4.2,1.5
13,0.5,-2.2
14,0.5,0.2
15,2.7,-2.8
16,-2.5,-5.1
17,-0.4,-2.4
18,0.9,0.5
19,1.3,-0.3
20,1.9,0.9
21,2.2,1.2
22,1.5,-0.1
23,2.5,-1.3
24,1.9,-0.1
25,0.7,-2.5
26,0.4,-0.3
27,9.5,4.2
28,5.5,3.5
29,8.9,5.1
30,9.3,6.8
31,8.0,5.1
32,6.9,4.3
33,4.6,-1.1
34,7.2,-2.3
35,9.7,6.0
36,3.9,1.7
37,6.4,3.2
38,4.2,-1.7
39,0.9,-1.7
40,2.9,1.2
41,3.9,2.8
42,3.4,2.5
43,2.5,-0.9
44,1.6,-0.4
45,4.8,2.3
46,6.5,2.4
47,3.8,1.6
48,6.3,0.0
49,4.2,-1.2
50,0.5,-3.6
51,4.3,-1.5
52,1.4,-1.7
53,1.5,0.8
54,1.9,-0.1
55,1.6,0.0
56,4.1,-2.0
57,4.9,1.9
58,1.3,-4.5
59,-0.5,-4.2
60,7.5,3.5
61,0.1,-4.3
62,3.6,-1.6
63,6.2,-0.6
64,1.9,-3.1
65,4.8,0.3
66,6.7,5.8
67,7.1,5.3
68,5.8,3.8
69,3.3,2.4
70,-0.4,-4.2
71,0.4,-5.0
72,3.9,-2.3
73,-0.9,-5.6
74,5.0,4.3
75,4.2,2.5
76,2.2,0.1
77,3.4,-0.1
78,2.9,-0.1
79,4.3,0.5
80,2.2,-3.6
81,2.7,1.5
82,2.2,1.5
83,1.9,0.6
84,3.4,1.0
85,1.4,0.1
86,2.6,0.3
87,2.9,-1.4
88,2.4,-3.3
89,2.4,-4.6
90,2.9,-5.3
91,3.5,-1.2
92,4.5,-1.4
93,5.4,-3.4
94,5.6,-1.8
95,5.2,-1.0
96,4.8,-2.7
97,4.0,-3.0
98,5.5,3.5
99,5.4,-0.7
100,3.8,-2.9
101,6.4,3.3
102,6.9,4.1
103,8.2,2.9
104,13.7,10.7
105,12.4,9.4
106,11.8,9.2
107,11.7,3.5
108,10.4,7.1
109,7.7,5.8
110,8.5,-0.5
111,8.8,5.0
112,8.7,2.8
113,10.5,7.1
114,10.6,7.2
115,9.2,7.2
116,8.6,1.3
117,7.1,-1.0
118,7.4,1.9
119,8.2,3.8
120,9.3,1.6
121,9.6,0.1
122,9.0,-1.2
123,10.0,5.0
124,10.5,8.3
125,10.3,8.9
126,10.7,7.0
127,17.3,4.1
128,14.6,12.5
129,11.0,6.1
130,10.2,8.4
131,9.1,6.9
132,10.0,6.3
133,10.5,5.8
134,9.5,4.3
135,7.7,6.1
136,7.9,1.5
137,10.2,2.5
138,10.4,7.8
139,11.3,9.3
140,15.0,10.9
141,14.5,11.3
142,12.5,8.0
143,8.4,3.2
144,9.4,6.0
145,11.2,0.9
146,10.9,1.3
147,11.2,4.4
148,10.6,7.9
149,12.7,8.0
150,14.7,11.2
151,15.7,5.3
152,12.7,4.3
153,12.5,2.4
154,14.6,4.8
155,17.8,7.3
156,17.3,6.6
157,16.3,8.6
158,17.3,8.5
159,16.8,8.4
160,14.5,7.1
161,14.1,8.1
162,14.3,7.7
163,15.1,13.1
164,14.9,12.2
165,13.4,7.6
166,12.9,10.0
167,13.7,10.6
168,16.1,10.2
169,19.2,9.4
170,18.1,13.7
171,19.3,7.2
172,16.7,13.3
173,14.6,9.9
174,13.9,10.6
175,13.4,10.7
176,13.7,5.0
177,15.5,9.9
178,14.2,9.6
179,15.0,12.5
180,14.9,9.8
181,14.4,13.4
182,13.8,10.9
183,13.0,10.5
184,15.0,13.5
185,14.7,13.3
186,16.1,8.7
187,17.3,9.6
188,17.6,9.6
189,22.4,14.3
190,20.5,12.7
191,21.6,16.1
192,17.5,9.8
193,18.5,12.7
194,20.1,12.5
195,18.2,13.0
196,15.1,8.8
197,19.0,10.4
198,19.9,12.0
199,22.8,13.0
200,24.4,15.6
201,21.3,13.4
202,18.3,12.0
203,20.0,14.2
204,22.3,17.5
205,18.5,14.0
206,19.2,16.3
207,19.4,13.3
208,20.6,12.1
