date,maximum_temp,minimum_temp
1,7.6,4.7
2,10.7,6.4
3,11.2,8.7
4,9.3,8.4
5,10.0,8.5
6,8.7,7.3
7,9.1,7.0
8,9.8,3.5
9,3.2,0.0
10,2.8,0.8
11,2.8,0.5
12,5.3,0.0
13,1.2,-1.0
14,1.7,-1.0
15,3.0,-3.2
16,0.4,-2.8
17,1.6,-0.6
18,0.7,-0.8
19,2.3,0.9
20,2.3,1.6
21,2.1,-0.1
22,3.1,-1.7
23,2.1,0.1
24,4.0,0.6
25,2.1,-0.2
26,5.3,-0.2
27,6.8,4.9
28,8.6,4.5
29,10.7,5.6
30,8.0,6.0
31,8.6,6.0
32,7.6,3.8
33,5.7,-1.9
34,9.9,6.8
35,7.3,3.6
36,5.9,1.4
37,5.9,3.2
38,3.3,-0.8
39,7.6,-0.8
40,4.0,1.6
41,4.4,2.6
42,4.8,1.6
43,3.8,-0.3
44,3.8,-0.4
45,8.5,2.8
46,9.6,2.0
47,8.7,3.4
48,9.8,1.4
49,7.9,-0.3
50,10.7,-2.4
51,4.1,1.4
52,4.4,0.8
53,2.5,0.4
54,3.7,1.3
55,5.1,1.5
56,7.7,3.7
57,8.1,1.2
58,10.3,-1.6
59,12.7,-1.7
60,8.7,0.1
61,6.6,-1.5
62,9.5,2.3
63,8.1,1.7
64,12.4,0.0
65,8.2,4.8
66,10.1,6.2
67,7.3,5.7
68,4.8,2.9
69,4.0,-0.7
70,1.7,-2.5
71,5.8,0.4
72,6.7,-2.1
73,4.9,-0.9
74,7.4,2.8
75,6.6,0.7
76,5.8,1.8
77,5.3,1.8
78,6.2,2.7
79,4.3,-0.5
80,5.1,1.7
81,2.3,1.3
82,2.1,0.7
83,4.2,1.5
84,4.8,0.3
85,4.8,0.7
86,3.8,0.1
87,5.4,-1.4
88,5.4,1.0
89,6.4,-2.1
90,6.3,1.4
91,7.2,0.2
92,7.6,0.0
93,9.5,0.8
94,7.3,3.9
95,8.1,2.6
96,9.4,1.0
97,11.1,3.8
98,7.3,2.8
99,9.0,3.4
100,11.7,3.8
