date,maximum_temp,minimum_temp
314,1.1,-1.2
315,9.3,5.2
316,10.5,7.6
317,8.6,7.2
318,10.3,5.8
319,7.3,-0.7
320,10.3,9.0
321,10.9,2.5
322,11.5,6.0
323,3.4,-1.4
324,7.7,3.7
325,4.9,3.9
326,4.3,-1.8
327,-0.5,-3.9
328,4.3,2.5
329,2.1,-3.7
330,7.5,2.2
331,9.6,9.0
332,9.3,6.9
333,9.5,4.4
334,5.5,-1.8
335,8.7,7.8
336,8.5,1.6
337,9.0,8.1
338,10.0,0.4
339,9.0,6.4
340,3.9,1.4
341,8.0,3.1
342,11.0,8.4
343,11.9,10.7
344,10.7,8.4
345,11.5,7.8
346,13.1,5.9
347,12.4,10.9
348,9.5,6.0
349,11.2,4.7
350,12.7,5.2
351,7.3,2.3
352,6.6,4.6
353,9.3,3.7
354,7.3,4.7
355,12.0,9.4
356,7.2,2.8
357,6.2,4.2
358,10.5,5.2
359,6.9,5.0
360,4.9,2.3
361,9.9,4.0
362,7.3,5.5
363,5.8,4.8
364,10.1,5.6
365,7.9,5.0
366,6.3,4.8
367,9.2,5.5
368,9.5,6.5
369,7.6,4.6
370,5.1,2.6
371,10.3,8.1
372,10.2,6.8
373,9.5,7.5
374,6.8,3.2
375,7.5,4.8
376,5.0,1.6
377,4.3,-0.7
378,7.7,4.0
379,3.9,2.3
380,8.5,4.0
381,8.2,5.2
382,7.7,5.5
383,6.2,4.6
384,9.6,4.3
385,5.6,3.8
386,5.6,3.5
387,7.3,5.7
388,7.4,3.4
389,4.6,1.4
390,9.8,6.8
391,6.0,3.8
392,5.9,3.8
393,5.2,3.1
394,6.8,4.5
395,4.2,0.4
396,4.7,2.7
397,6.9,2.4
398,7.2,5.4
399,8.3,6.2
400,6.0,2.5
401,7.2,5.2
402,7.7,6.2
403,4.2,1.9
404,7.2,3.7
405,7.3,4.3
406,6.0,2.3
407,5.0,1.8
408,5.3,3.1
409,5.1,2.9
410,5.9,4.5
411,8.4,5.0
412,5.5,2.7
413,5.7,4.5
414,8.0,6.0
415,7.5,6.5
416,11.1,7.9
417,5.9,4.1
418,7.1,5.1
419,11.3,8.4
420,10.1,4.3
421,8.2,6.5
422,8.0,5.1
423,7.4,4.4
424,5.3,-1.7
425,3.6,1.1
426,6.9,1.7
427,6.7,-0.9
428,6.2,1.9
429,7.7,1.9
430,9.5,8.2
431,11.7,8.6
432,8.6,1.1
433,11.2,9.5
434,10.5,1.7
435,4.8,-1.1
436,6.6,-0.2
437,2.6,-0.6
438,5.9,2.2
439,8.8,7.7
440,9.3,7.3
441,10.0,8.1
442,9.0,6.7
443,11.6,8.7
444,10.0,8.6
445,6.7,4.7
446,4.5,2.1
447,5.2,3.5
448,5.7,-2.9
449,7.6,4.6
450,7.1,-0.6
451,5.0,3.7
452,6.7,4.7
453,9.2,6.1
454,11.2,8.3
455,12.3,4.3
456,11.8,8.6
457,11.1,5.2
458,10.5,8.4
459,10.2,8.0
460,10.1,6.8
461,12.6,11.6
462,10.4,8.1
463,8.5,5.4
464,9.9,8.3
465,10.6,6.7
466,8.3,2.0
467,8.9,7.6
468,8.6,7.1
469,10.3,6.5
470,10.8,2.6
471,10.1,4.2
472,11.5,8.9
473,8.9,0.0
474,11.6,0.1
475,8.4,1.5
476,15.1,9.4
477,12.6,8.3
478,12.3,10.1
479,12.2,6.2
480,11.2,5.6
481,10.7,9.3
482,12.1,7.4
483,12.3,8.6
484,14.0,5.2
485,13.3,8.1
486,10.7,9.7
487,10.4,4.5
488,8.7,6.3
489,11.6,9.6
490,11.8,8.4
491,12.7,9.0
492,11.0,7.9
493,11.3,9.2
494,11.3,7.0
495,12.8,7.9
496,12.1,9.1
497,11.1,8.3
498,10.8,5.1
499,13.1,2.6
500,12.4,9.1
501,17.5,6.7
502,16.4,7.8
503,16.0,12.2
504,18.1,7.2
505,17.7,10.7
506,13.8,7.3
507,11.1,4.3
508,9.5,7.9
509,14.6,8.9
510,12.4,6.8
511,12.6,10.7
512,15.0,9.9
513,14.4,10.0
514,12.5,9.8
515,11.2,9.7
516,14.2,4.5
517,18.4,7.8
518,16.2,11.4
519,14.1,12.4
520,13.2,6.7
521,12.5,10.8
522,16.1,3.9
523,18.2,13.2
524,17.1,11.9
525,16.0,9.6
526,15.6,11.1
527,16.6,12.2
528,18.3,8.7
529,16.6,11.0
530,17.3,9.9
531,19.9,14.0
532,16.1,10.7
533,20.1,12.3
534,21.3,12.3
535,18.9,13.1
536,17.2,9.3
537,16.8,10.5
538,18.1,7.2
539,17.2,10.7
540,15.5,10.9
541,15.5,12.1
542,14.3,11.7
543,16.0,10.0
544,14.9,6.6
545,14.0,9.5
546,16.6,6.0
547,19.0,6.8
548,19.7,8.3
549,16.5,12.1
550,16.4,14.5
551,14.4,10.1
552,17.4,9.4
553,14.8,9.2
554,13.5,11.1
555,17.3,10.0
556,18.7,8.0
557,19.2,7.7
558,19.9,9.2
559,17.0,13.8
560,16.9,6.6
561,15.8,12.7
562,16.3,11.0
563,18.4,10.0
564,19.0,13.5
565,19.5,15.7
566,19.8,13.7
567,19.2,9.8
568,20.9,9.8
569,23.4,13.2
570,24.2,13.2
571,23.3,11.7
572,23.2,11.5
573,15.3,13.0
574,19.2,11.9
575,16.3,10.0
576,15.6,13.7
577,15.8,13.6
578,15.5,12.9
579,15.9,12.7
580,15.4,12.4
581,15.5,12.8
582,17.6,6.8
583,17.8,14.6
584,17.4,9.2
585,17.1,7.1
586,16.2,10.6
587,14.0,12.3
588,14.3,11.8
589,14.4,12.2
590,15.0,12.0
591,14.6,12.1
592,15.3,10.8
593,14.0,11.0
594,15.0,11.1
595,13.1,10.5
596,12.5,7.6
597,13.5,8.1
598,12.1,9.5
599,12.5,7.7
