date,daily_flow_cumecs
2013-01-01,14.100
2013-01-02,10.400
2013-01-03,8.330
2013-01-04,6.650
2013-01-05,5.650
2013-01-06,4.860
2013-01-07,7.380
2013-01-08,12.400
2013-01-09,10.500
2013-01-10,8.050
2013-01-11,6.290
2013-01-12,4.990
2013-01-13,4.200
2013-01-14,3.880
2013-01-15,3.280
2013-01-16,2.750
2013-01-17,2.690
2013-01-18,2.250
2013-01-19,1.760
2013-01-20,1.740
2013-01-21,1.790
2013-01-22,1.590
2013-01-23,1.460
2013-01-24,1.530
2013-01-25,3.980
2013-01-26,10.500
2013-01-27,19.100
2013-01-28,17.900
2013-01-29,14.900
2013-01-30,12.500
2013-01-31,9.920
2013-02-01,7.570
2013-02-02,6.090
2013-02-03,5.680
2013-02-04,5.620
2013-02-05,5.820
2013-02-06,5.050
2013-02-07,4.420
2013-02-08,3.960
2013-02-09,3.750
2013-02-10,3.630
2013-02-11,3.110
2013-02-12,2.770
2013-02-13,6.810
2013-02-14,8.250
2013-02-15,6.950
2013-02-16,5.600
2013-02-17,4.470
2013-02-18,3.670
2013-02-19,3.140
2013-02-20,2.780
2013-02-21,2.320
2013-02-22,2.040
2013-02-23,1.880
2013-02-24,1.750
2013-02-25,1.630
2013-02-26,1.500
2013-02-27,1.400
2013-02-28,1.330
2013-03-01,1.240
2013-03-02,1.180
2013-03-03,1.130
2013-03-04,1.080
2013-03-05,1.020
2013-03-06,1.080
2013-03-07,1.100
2013-03-08,1.020
2013-03-09,1.080
2013-03-10,1.040
2013-03-11,0.893
2013-03-12,0.852
2013-03-13,0.814
2013-03-14,0.977
2013-03-15,3.380
2013-03-16,2.700
2013-03-17,2.720
2013-03-18,2.670
2013-03-19,2.490
2013-03-20,2.130
2013-03-21,2.140
2013-03-22,2.380
2013-03-23,1.840
2013-03-24,1.430
2013-03-25,1.280
2013-03-26,1.160
2013-03-27,1.160
2013-03-28,1.160
2013-03-29,1.120
2013-03-30,1.100
2013-03-31,1.120
2013-04-01,1.030
2013-04-02,0.928
2013-04-03,0.922
2013-04-04,0.856
2013-04-05,0.835
2013-04-06,0.827
2013-04-07,0.874
2013-04-08,0.978
2013-04-09,0.824
2013-04-10,0.878
2013-04-11,0.928
2013-04-12,0.870
2013-04-13,1.230
2013-04-14,6.140
2013-04-15,6.050
2013-04-16,6.070
2013-04-17,11.200
2013-04-18,15.100
2013-04-19,11.600
2013-04-20,7.870
2013-04-21,7.610
2013-04-22,6.600
2013-04-23,5.880
2013-04-24,6.340
2013-04-25,7.280
2013-04-26,6.090
2013-04-27,5.170
2013-04-28,4.940
2013-04-29,4.300
2013-04-30,3.670
2013-05-01,3.150
2013-05-02,2.800
2013-05-03,3.010
2013-05-04,3.210
2013-05-05,3.010
2013-05-06,2.660
2013-05-07,2.510
2013-05-08,2.420
2013-05-09,2.850
2013-05-10,3.360
2013-05-11,5.210
2013-05-12,5.960
2013-05-13,5.910
2013-05-14,4.950
2013-05-15,4.190
2013-05-16,3.610
2013-05-17,3.270
2013-05-18,9.530
2013-05-19,6.350
2013-05-20,5.330
2013-05-21,4.320
2013-05-22,3.540
2013-05-23,3.070
2013-05-24,2.740
2013-05-25,2.410
2013-05-26,2.280
2013-05-27,4.320
2013-05-28,5.980
2013-05-29,5.260
2013-05-30,4.340
2013-05-31,3.510
2013-06-01,2.930
2013-06-02,2.550
2013-06-03,2.270
2013-06-04,2.040
2013-06-05,1.830
2013-06-06,1.660
2013-06-07,1.530
2013-06-08,1.410
2013-06-09,1.330
2013-06-10,1.280
2013-06-11,1.300
2013-06-12,1.310
2013-06-13,1.340
2013-06-14,1.660
2013-06-15,1.800
2013-06-16,1.870
2013-06-17,1.840
2013-06-18,1.670
2013-06-19,1.470
2013-06-20,1.430
2013-06-21,1.460
2013-06-22,1.610
2013-06-23,1.690
2013-06-24,1.720
2013-06-25,1.640
2013-06-26,1.440
2013-06-27,1.460
2013-06-28,3.250
2013-06-29,2.880
2013-06-30,2.540
2013-07-01,2.130
2013-07-02,2.150
2013-07-03,2.420
2013-07-04,2.520
2013-07-05,2.380
2013-07-06,2.130
2013-07-07,1.860
2013-07-08,1.670
2013-07-09,1.510
2013-07-10,1.360
2013-07-11,1.220
2013-07-12,1.130
2013-07-13,1.030
2013-07-14,0.921
2013-07-15,0.851
2013-07-16,0.904
2013-07-17,0.908
2013-07-18,0.870
2013-07-19,0.822
